size_1;size_2;median_process_time
(5, 5);(5, 5);0.0001284800
(5, 205);(205, 5);0.0009825320
(5, 405);(405, 5);0.0018365840
(5, 605);(605, 5);0.0026066650
(5, 805);(805, 5);0.0033767460
(5, 5);(5, 205);0.0036627140
(5, 205);(205, 205);0.0039486820
(5, 405);(405, 205);0.0043395860
(5, 605);(605, 205);0.0047304900
(5, 805);(805, 205);0.0054454580
(5, 5);(5, 405);0.0047304900
(5, 205);(205, 405);0.0054454580
(5, 405);(405, 405);0.0061604260
(5, 605);(605, 405);0.0393250410
(5, 805);(805, 405);0.0724896560
(5, 5);(5, 605);0.0396826930
(5, 205);(205, 605);0.0724896560
(5, 405);(405, 605);0.0990380715
(5, 605);(605, 605);0.1255864870
(5, 805);(805, 605);0.1531384885
(5, 5);(5, 805);0.1255864870
(5, 205);(205, 805);0.1531384885
(5, 405);(405, 805);0.1806904900
(5, 605);(605, 805);0.2002219210
(5, 805);(805, 805);0.2197533520
(205, 5);(5, 5);0.2002219210
(205, 205);(205, 5);0.1806904900
(205, 405);(405, 5);0.1531384885
(205, 605);(605, 5);0.1806904900
(205, 805);(805, 5);0.1963415615
(205, 5);(5, 205);0.1806904900
(205, 205);(205, 205);0.1963415615
(205, 405);(405, 205);0.2119926330
(205, 605);(605, 205);0.2158729925
(205, 805);(805, 205);0.2197533520
(205, 5);(5, 405);0.2158729925
(205, 205);(205, 405);0.2197533520
(205, 405);(405, 405);0.2202779005
(205, 605);(605, 405);0.2208024490
(205, 805);(805, 405);0.2310841995
(205, 5);(5, 605);0.2413659500
(205, 205);(205, 605);0.2423226835
(205, 405);(405, 605);0.2432794170
(205, 605);(605, 605);0.2457557695
(205, 805);(805, 605);0.2482321220
(205, 5);(5, 805);0.2501478890
(205, 205);(205, 805);0.2520636560
(205, 405);(405, 805);0.3091024750
(205, 605);(605, 805);0.3661412940
(205, 805);(805, 805);0.3676162645
(405, 5);(5, 5);0.3661412940
(405, 205);(205, 5);0.3091024750
(405, 405);(405, 5);0.2520636560
(405, 605);(605, 5);0.3091024750
(405, 805);(805, 5);0.3661412940
(405, 5);(5, 205);0.3091024750
(405, 205);(205, 205);0.3661412940
(405, 405);(405, 205);0.3676162645
(405, 605);(605, 205);0.3690912350
(405, 805);(805, 205);0.3759967055
(405, 5);(5, 405);0.3690912350
(405, 205);(205, 405);0.3759967055
(405, 405);(405, 405);0.3829021760
(405, 605);(605, 405);0.3870852650
(405, 805);(805, 405);0.3912683540
(405, 5);(5, 605);0.3917278660
(405, 205);(205, 605);0.3921873780
(405, 405);(405, 605);0.4339450855
(405, 605);(605, 605);0.4757027930
(405, 805);(805, 605);0.4852275170
(405, 5);(5, 805);0.4947522410
(405, 205);(205, 805);0.5024723605
(405, 405);(405, 805);0.5101924800
(405, 605);(605, 805);0.5204304990
(405, 805);(805, 805);0.5306685180
(605, 5);(5, 5);0.5204304990
(605, 205);(205, 5);0.5101924800
(605, 405);(405, 5);0.5024723605
(605, 605);(605, 5);0.5101924800
(605, 805);(805, 5);0.5204304990
(605, 5);(5, 205);0.5101924800
(605, 205);(205, 205);0.5204304990
(605, 405);(405, 205);0.5306685180
(605, 605);(605, 205);0.5417842385
(605, 805);(805, 205);0.5528999590
(605, 5);(5, 405);0.5595706365
(605, 205);(205, 405);0.5662413140
(605, 405);(405, 405);0.5885287440
(605, 605);(605, 405);0.6108161740
(605, 805);(805, 405);0.6511770175
(605, 5);(5, 605);0.6915378610
(605, 205);(205, 605);0.6931431340
(605, 405);(405, 605);0.6947484070
(605, 605);(605, 605);0.7111996755
(605, 805);(805, 605);0.7276509440
(605, 5);(5, 805);0.7489136880
(605, 205);(205, 805);0.7701764320
(605, 405);(405, 805);0.7878204450
(605, 605);(605, 805);0.8054644580
(605, 805);(805, 805);0.8910093125
(805, 5);(5, 5);0.8054644580
(805, 205);(205, 5);0.7878204450
(805, 405);(405, 5);0.7701764320
(805, 605);(605, 5);0.7489136880
(805, 805);(805, 5);0.7701764320
(805, 5);(5, 205);0.7489136880
(805, 205);(205, 205);0.7701764320
(805, 405);(405, 205);0.7878204450
(805, 605);(605, 205);0.8054644580
(805, 805);(805, 205);0.8813509240
(805, 5);(5, 405);0.8054644580
(805, 205);(205, 405);0.8813509240
(805, 405);(405, 405);0.9572373900
(805, 605);(605, 405);0.9668957785
(805, 805);(805, 405);0.9765541670
(805, 5);(5, 605);1.0126486755
(805, 205);(205, 605);1.0487431840
(805, 405);(405, 605);1.0607431230
(805, 605);(605, 605);1.0727430620
(805, 805);(805, 605);1.8925549210
(805, 5);(5, 805);1.4106778940
(805, 205);(205, 805);2.0615223370
(805, 405);(405, 805);2.7123667800
(805, 605);(605, 805);3.9383591110
(805, 805);(805, 805);5.1643514420
